elapsed_ms,yaw,roll,pitch
101,0,0,0
198,0,0,0
298,0,0,0
398,0,0,0
498,0,0,0
598,0,0,0
698,0,0,0
798,0,0,0
899,0,0,0
999,0,0,0
1099,0,0,0
1199,0,0,0
1299,0,0,0
1400,0,0,0
1500,0,0,0
1600,0,0,0
1700,0,0,0
1800,0,0,0
1894,0,0,0
2011,0,0,0
2111,0,0,0
2208,0,0,0
2311,0,0,0
2411,0,0,0
2512,0,0,0
2612,0,0,0
2712,0,0,0
2812,0,0,0
2912,0,0,0
3012,0,0,0
3113,0,0,0
3213,0,0,0
3313,0,0,0
3413,0,0,0
3513,0,0,0
3613,0,0,0
3713,0,0,0
3814,0.0772936344,-0.0288538709,-0.0692480356
3914,0.0791605264,-0.0290369242,-0.0720972642
4014,0.0791605264,-0.0290369242,-0.0720972642
4114,0.0791605264,-0.0290369242,-0.0720972642
4215,0.0779013783,-0.0273692757,-0.0730814412
4315,0.0776654035,-0.0276283622,-0.0736808255
4415,0.0796739832,-0.0271399505,-0.0724262074
4515,0.078202419,-0.0278648548,-0.0747095421
4616,0.0796053782,-0.0282942709,-0.0728203058
4716,0.0812642649,-0.0287301745,-0.0745749921
4816,0.0812642649,-0.0287301745,-0.0745749921
4916,0.0812642649,-0.0287301745,-0.0745749921
5017,0.0812642649,-0.0287301745,-0.0745749921
5117,0.0812642649,-0.0287301745,-0.0745749921
5216,0.0812642649,-0.0287301745,-0.0745749921
5316,0.0812642649,-0.0287301745,-0.0745749921
5417,0.0812642649,-0.0287301745,-0.0745749921
5517,0.0812642649,-0.0287301745,-0.0745749921
5617,0.0825534612,-0.0236140918,-0.0793908909
5718,0.0812264308,-0.023475593,-0.0786382034
5818,0.0791806355,-0.0236449279,-0.0772201791
5918,0.0828504786,-0.0256274287,-0.0790170953
6018,0.0814362988,-0.0249588639,-0.0784553364
6118,0.0820267275,-0.0255777407,-0.0767150894
6219,0.0833673701,-0.0266526509,-0.0764029101
6319,0.0829108432,-0.0239079967,-0.0786809772
6419,0.0850508362,-0.0285916384,-0.0766585246
6519,0.0908005387,-0.0233463757,-0.0868063644
6619,0.101681396,-0.019117916,-0.0617494993
6719,0.11978963,-0.0108652301,-0.0711802393
6819,0.11413455,-0.00113785395,-0.0748468786
6920,0.0944858789,-0.00212972425,-0.0753697157
7020,0.101847649,-0.0208055563,-0.0793346167
7120,0.107952401,-0.0256474614,-0.0912780985
7220,0.109236114,-0.0262280218,-0.0873420238
7321,0.103562921,-0.0242572781,-0.0770011991
7421,0.0940556824,-0.0210086945,-0.0664366931
7521,0.0889248848,-0.0184299145,-0.0699382797
7621,0.0570537187,-0.0158852153,-0.0818477869
7722,-0.038669385,-0.0326395221,-0.093705833
7822,-0.130675346,-0.0506618097,-0.107968748
7921,-0.209323123,-0.0573720299,-0.121833406
8021,-0.272764742,-0.0545186959,-0.140579209
8122,-0.33692497,-0.0540869497,-0.154308528
8222,-0.393490076,-0.0559256896,-0.162095621
8323,-0.439203024,-0.0520868376,-0.168721437
8423,-0.470762283,-0.0488099977,-0.176777825
8523,-0.515855074,-0.0447982252,-0.187607214
8623,-0.545660615,-0.0463518761,-0.18955414
8723,-0.531565845,-0.0462117642,-0.182031184
8823,-0.464395285,-0.0459707156,-0.182333484
8923,-0.355775625,-0.0404139012,-0.187003672
9023,-0.207892433,-0.0283383466,-0.186579317
9124,-0.0485107675,-0.0122404918,-0.180951953
9224,0.13356252,0.0108385589,-0.169497237
9324,0.328423202,0.0241136681,-0.169074327
9425,0.510050774,0.0224301871,-0.166489884
9525,0.675298095,0.0206062552,-0.163984627
9625,0.78972584,0.0161130335,-0.163130254
9725,0.830989301,0.00068908016,-0.147326559
9826,0.815558612,-0.0229257066,-0.14091441
9926,0.757715106,-0.0354079157,-0.146548331
10026,0.649486363,-0.0422348976,-0.165619448
10125,0.508971691,-0.0540779009,-0.183656827
10226,0.357552111,-0.0682624578,-0.23772274
10326,0.249666288,-0.0647035092,-0.338554263
