elapsed_ms,sample,label,self,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
5672,11,copied_2700,0000000146dfea50,0.999665797,-0.0210421067,0.0150325596,1,0.0208598711,0.999708235,0.012178557,1,-0.015284434,-0.0118609099,0.99981308,1,0.0246739127,1.13665199,-0.0328666419,1
5672,11,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
5772,12,tracked_1690,0000000146dfea50,0.9996804,-0.0203701574,0.0149819106,1,0.0201880094,0.999721646,0.0122103384,1,-0.0152264535,-0.0119039798,0.999813318,1,0.0248463023,1.13662231,-0.0332365632,1
5772,12,copied_2700,0000000146dfea50,0.9996804,-0.0203701574,0.0149819106,1,0.0201880094,0.999721646,0.0122103384,1,-0.0152264535,-0.0119039798,0.999813318,1,0.0248463023,1.13662231,-0.0332365632,1
5772,12,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
5872,13,tracked_1690,0000000146dfea50,0.999691188,-0.0201229993,0.0145978332,1,0.0199718494,0.999746144,0.0104272924,1,-0.0148039609,-0.010132527,0.999839365,1,0.0248342007,1.13653278,-0.0333886445,1
5872,13,copied_2700,0000000146dfea50,0.999691188,-0.0201229993,0.0145978332,1,0.0199718494,0.999746144,0.0104272924,1,-0.0148039609,-0.010132527,0.999839365,1,0.0248342007,1.13653278,-0.0333886445,1
5872,13,candidate_2740,0000000146dfea50,1,0,2.98023224e-08,1,-0,1,0,1,-2.98023224e-08,-0,1,1,-0.030676499,0.00104528468,5.47794771e-05,1
5972,14,tracked_1690,0000000146dfea50,0.999736309,-0.0169056859,0.0155480653,1,0.016779257,0.999825358,0.00822625961,1,-0.0156844407,-0.00796320662,0.999845445,1,0.0253818184,1.13677776,-0.032826215,1
5972,14,copied_2700,0000000146dfea50,0.999736309,-0.0169056859,0.0155480653,1,0.016779257,0.999825358,0.00822625961,1,-0.0156844407,-0.00796320662,0.999845445,1,0.0253818184,1.13677776,-0.032826215,1
