elapsed_ms,sample,label,self,m00,m01,m02,m03,m10,m11,m12,m13,m20,m21,m22,m23,m30,m31,m32,m33
46209,23,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.296166778,0.387350112,0.873066425,0,0.233183086,0.915739357,-0.327180862,0,-0.926234841,0.10668423,-0.361535013,0,-507.714966,-387.184662,408.529236,0.163967431
46328,24,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.625392079,0.410828799,0.66340369,0,0.229992241,0.909459651,-0.346390754,0,-0.745646298,-0.0640523285,-0.663256347,0,-507.315948,-387.172302,408.88855,0.163967431
46429,25,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.624408126,0.410978615,0.664237142,0,0.230325729,0.90945375,-0.34618479,0,-0.746367574,-0.0631697178,-0.662529349,0,-506.9729,-387.142914,409.246582,0.163967431
46529,26,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.625998914,0.410957366,0.662751436,0,0.23235181,0.90956527,-0.344534159,0,-0.744404554,-0.0616865009,-0.66487354,0,-506.690491,-387.103027,409.583344,0.163967431
46629,27,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.626039088,0.412712485,0.661621809,0,0.233799696,0.908768833,-0.345654368,0,-0.743917227,-0.0617061518,-0.665416896,0,-506.41275,-387.06012,409.923462,0.163967431
46733,28,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.62626487,0.413208693,0.661098301,0,0.235638157,0.908650815,-0.344714969,0,-0.743146777,-0.0601029135,-0.666423857,0,-506.129669,-387.019226,410.26297,0.163967431
46834,29,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.625007212,0.416113913,0.660465896,0,0.235302269,0.907152832,-0.348864764,0,-0.744311035,-0.0626338571,-0.664889634,0,-505.642273,-386.965179,410.802826,0.163967431
46935,30,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.620340466,0.417663336,0.663878798,0,0.235423937,0.906549037,-0.350349069,0,-0.74816674,-0.0610427484,-0.660697043,0,-505.105713,-386.912292,411.380585,0.163967431
47042,31,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.622145951,0.417327583,0.662398756,0,0.237457573,0.906813145,-0.348286986,0,-0.746021688,-0.059393689,-0.663267732,0,-504.496979,-386.866119,412.001038,0.163967431
47142,32,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.622699738,0.416404009,0.662459552,0,0.237995237,0.907317042,-0.346603602,0,-0.745388031,-0.0581677631,-0.664088309,0,-504.027466,-386.852753,412.420715,0.163967431
47243,33,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.626256168,0.41252777,0.661531627,0,0.236197054,0.909049988,-0.343276888,0,-0.742976606,-0.0587274209,-0.666736007,0,-503.252838,-386.858795,413.03891,0.163967431
47343,34,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.6285429,0.410228699,0.660792172,0,0.237014949,0.910209119,-0.339622438,0,-0.740781903,-0.0568496287,-0.669335783,0,-502.619598,-386.876526,413.511505,0.163967431
47443,35,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.627690017,0.411250591,0.660967529,0,0.237595439,0.909761369,-0.340415537,0,-0.741318882,-0.0566325374,-0.668759406,0,-501.970001,-386.898315,413.985687,0.163967431
47543,36,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.626762092,0.411561608,0.661654234,0,0.236928329,0.909586549,-0.341346294,0,-0.742316782,-0.0571782887,-0.667604983,0,-501.327637,-386.917236,414.460724,0.163967431
47654,37,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.625189364,0.412836015,0.662347794,0,0.236722589,0.908974707,-0.343114406,0,-0.743707418,-0.0577187948,-0.66600889,0,-500.616058,-386.936279,414.991364,0.163967431
47754,38,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.624799967,0.413536251,0.662278473,0,0.238051504,0.908729672,-0.34284386,0,-0.743610561,-0.0565524399,-0.666217148,0,-499.97171,-386.953125,415.473999,0.163967431
47855,39,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.623313189,0.412359476,0.664409816,0,0.236746863,0.909296751,-0.342243105,0,-0.745272875,-0.0560277104,-0.664401412,0,-499.322662,-386.969635,415.960907,0.163967431
47958,40,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.624708474,0.412217826,0.663186073,0,0.237557054,0.909376562,-0.341468751,0,-0.743845463,-0.0557738915,-0.666020513,0,-498.669952,-386.985535,416.452728,0.163967431
48068,41,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.624034166,0.412197173,0.663833439,0,0.235603213,0.909264803,-0.343116134,0,-0.745031893,-0.0577148758,-0.664527297,0,-497.958649,-387.00177,416.991272,0.163967431
48169,42,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.624067545,0.412243038,0.663773596,0,0.235778376,0.909253299,-0.343026191,0,-0.744948566,-0.0575680286,-0.664633512,0,-497.320923,-387.016052,417.475525,0.163967431
48279,43,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.623696506,0.412538022,0.663938999,0,0.236547232,0.909174681,-0.342705339,0,-0.745015502,-0.0566911735,-0.664633751,0,-496.61441,-387.031464,418.012787,0.163967431
48382,44,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.624965906,0.411316901,0.663502812,0,0.234974742,0.909633219,-0.342570215,0,-0.744449198,-0.0581882894,-0.665138781,0,-495.977875,-387.042358,418.504578,0.163967431
48482,45,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.625531435,0.409793943,0.663912177,0,0.235585183,0.910440922,-0.339995682,0,-0.74378103,-0.0562700853,-0.666050732,0,-495.33078,-387.046448,419.023468,0.163967431
48582,46,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.619904637,0.406815141,0.670984089,0,0.232604772,0.911944926,-0.338011265,0,-0.749408603,-0.0534606464,-0.659946024,0,-494.710693,-387.043945,419.53598,0.163967431
48690,47,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.615117669,0.393808693,0.683041036,0,0.241229385,0.918782651,-0.312485069,0,-0.750625551,-0.0274455249,-0.660157621,0,-494.047852,-387.039154,420.101898,0.163967431
48790,48,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.627260208,0.371807128,0.684327602,0,0.257464916,0.928276777,-0.268354565,0,-0.735021472,0.00786224753,-0.677998245,0,-493.434937,-387.033051,420.636719,0.163967431
48890,49,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.645727754,0.359554529,0.673614323,0,0.258751214,0.933035314,-0.249986172,0,-0.718389571,0.012875529,-0.695521832,0,-492.82666,-387.021484,421.170258,0.163967431
48990,50,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.654414594,0.356172115,0.666995525,0,0.2542696,0.934398949,-0.249490663,0,-0.712101519,0.00632635877,-0.702048004,0,-492.224457,-387.005371,421.704742,0.163967431
49090,51,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.655803025,0.350286961,0.668746233,0,0.24483709,0.936642289,-0.250511646,0,-0.714126945,-0.000552423298,-0.700016022,0,-491.631744,-386.985382,422.240173,0.163967431
49191,52,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.650837123,0.3488231,0.674339414,0,0.233415172,0.937118351,-0.259473681,0,-0.722446203,-0.0114740711,-0.691332042,0,-491.036438,-386.962433,422.78299,0.163967431
49291,53,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.652736962,0.36315152,0.664872587,0,0.241364881,0.931575418,-0.271864504,0,-0.718106925,-0.016979102,-0.695725679,0,-490.445496,-386.938232,423.328583,0.163967431
49392,54,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.655294001,0.364389092,0.661672354,0,0.250557482,0.931215346,-0.264686704,0,-0.712608457,-0.00766064785,-0.701520205,0,-489.861694,-386.912903,423.876404,0.163967431
49492,55,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.663876772,0.360244721,0.655355871,0,0.244563788,0.93272692,-0.264970154,0,-0.70672214,-0.0156312007,-0.707318544,0,-489.279297,-386.884308,424.42746,0.163967431
49592,56,player_camera_matrix_6e7ca30,0000000146e7ca30,-0.664161921,0.375640035,0.646361828,0,0.256481022,0.926612616,-0.274966538,0,-0.702215493,-0.0168427713,-0.711765289,0,-488.700378,-386.853729,424.982056,0.163967431
